software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-01 20:50:10.412 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764618617159,641,291,1
1764618617167,639,297,1
1764618617175,634,307,1
1764618617183,631,313,1
1764618617192,626,321,1
1764618617199,623,327,1
1764618617207,620,335,1
1764618617215,615,346,1
1764618617223,611,358,1
1764618617232,609,367,1
1764618617239,605,379,1
1764618617247,602,391,1
1764618617258,596,405,1
1764618617262,594,415,1
1764618617275,591,424,1
1764618617279,590,432,1
1764618617289,589,444,1
1764618617295,587,458,1
1764618617306,585,470,1
1764618617310,584,478,1
1764618617319,582,490,1
1764618617329,581,500,1
1764618617336,581,509,1
1764618617344,581,519,1
1764618617352,581,527,1
1764618617360,581,537,1
1764618617367,581,544,1
1764618617376,581,549,1
1764618617383,581,554,1
1764618617393,581,559,1
1764618617398,581,564,1
1764618617406,581,570,1
1764618617416,581,577,1
1764618617424,583,582,1
1764618617431,586,589,1
1764618617439,587,598,1
1764618617447,589,605,1
1764618617458,590,611,1
1764618617463,593,618,1
1764618617471,595,624,1
1764618617480,598,634,1
1764618617490,599,642,1
1764618617496,604,650,1
1764618617508,609,661,1
1764618617512,611,662,1
1764618617518,614,665,1
1764618617528,616,671,1
1764618617538,621,677,1
1764618617548,626,683,1
1764618617551,631,689,1
1764618617560,636,696,1
1764618617568,640,701,1
1764618617576,645,707,1
1764618617584,648,711,1
1764618617591,652,717,1
1764618617599,656,723,1
1764618617610,661,729,1
1764618617614,666,734,1
1764618617622,669,737,1
1764618617632,675,743,1
1764618617640,682,745,1
1764618617649,688,751,1
1764618617656,694,755,1
1764618617666,702,761,1
1764618617671,705,763,1
1764618617683,710,766,1
1764618617687,714,768,1
1764618617699,720,774,1
1764618617703,725,779,1
1764618617714,727,780,1
1764618617718,734,784,1
1764618617730,740,789,1
1764618617736,751,795,1
1764618617745,755,796,1
1764618617750,763,798,1
1764618617760,771,800,1
1764618617766,778,803,1
1764618617776,784,806,1
